Question,Answer
What’s the treatment for diabetic retinopathy and DME?,"In the early stages of diabetic retinopathy, your eye doctor will probably just keep track of how your eyes are doing. Some people with diabetic retinopathy may need a comprehensive dilated eye exam as often as every 2 to 4 months. In later stages, it’s important to start treatment right away — especially if you have changes in your vision. While it won’t undo any damage to your vision, treatment can stop your vision from getting worse. It’s also important to take steps to control your diabetes, blood pressure, and cholesterol. Injections.Medicines called anti-VEGF drugs can slow down or reverse..........................."
What is the latest research on diabetic retinopathy and DME?,"Scientists are studying better ways to find, treat, and prevent vision loss in people with diabetes. One NIH-funded research team is studying whether a cholesterol medicine called fenofibrate can stop diabetic retinopathy from getting worse."
What is dry eye?,"Dry eye happens when your eyes don’t make enough tears to stay wet, or when your tears don’t work correctly. This can make your eyes feel uncomfortable, and in some cases it can also cause vision problems. Dry eye is common — it affects millions of Americans every year. The good news is that if you have dry eye, there are lots of things you can do to keep your eyes healthy and stay comfortable."
What are the symptoms of dry eye?,"Dry eye can cause: A scratchy feeling, like there’s something in your eye Stinging or burning feelings in your eye Red eyes Sensitivity to light Blurry vision"
Am I at risk for dry eye?,"Anyone can get dry eye, but you might be more likely to have dry eye if you: Are age 50 or older Are female Wear contact lenses Don’t get enough vitamin A (found in foods like carrots, broccoli, and liver) or omega-3 fatty acids (found in fish, walnuts, and vegetableoils) Have certain autoimmune conditions, like lupus or Sjögren syndrome"
What causes dry eye?,"Normally, glands above your eyes make tears that keep your eyes wet. Dry eye happens when your tears don’t do their job. This could mean: Your glands don’t make enough tears to keep your eyes wet Your tears dry up too fast Your tears just don’t work well enough to keep your eyes wet"
How will my eye doctor check for dry eye?,"Your doctor can check for dry eye as part of acomprehensive dilated eye exam. The exam is simple and painless — your doctor will give you some eye drops to dilate (widen) your pupil and then check your eyes for dry eye and other eye problems.  Be sure to tell your doctor if you think you might have dry eye. To find out if you have dry eye, your doctor might check: The amount of tears your eyes make How long it takes for your tears to dry up The structure of your eyelids"
What’s the treatment for dry eye?,Treatment for dry eye usually depends on what’s causing your symptoms. There are a few different types of treatment that can ease your symptoms and help keep your eyes healthy. Over-the-counter eye drops.The most common treatment for mild dry eye is a type of eye drops called artificial tears. You can get these eye drops without a prescription. There are also over-the-counter moisturizing gels and ointments that may help your eyes feel better. Over-the-counter eye drops.The most common treatment for mild dry eye is a type of eye drops called artificial tears. You can get these eye drops without a............................................................
What's the latest research on dry eye?,Scientists are studying what causes dry eye and how we can treat it better. NEI also funds research on new treatment options.
What are floaters?,"Floaters are small dark shapes that float across your vision. They can look like spots, threads, squiggly lines, or even little cobwebs. Most people have floaters that come and go, and they often don’t need treatment. But sometimes floaters can be a sign of a more serious eye condition. So if you notice new floaters that appear suddenly and don’t go away, it’s important to tell your eye doctor."
What are the symptoms of floaters?,"Floaters move as your eyes move — so when you try to look at them directly, they seem to move away. When your eyes stop moving, floaters keep drifting across your vision. You may notice floaters more when you look at something bright, like white paper or a blue sky."
Am I at risk for floaters?,"Almost everyone develops floaters as they get older, but some people are at higher risk. You’re at higher risk if you: Are very nearsighted Have diabetes Have had surgery to treat cataracts"
What causes floaters?,"Floaters usually happen because of normal changes in your eyes. As you age, tiny strands of your vitreous (the gel-like fluid that fills your eye) stick together and cast shadows on your retina (the light-sensitive layer of tissue at the back of the eye). Those shadows appear as floaters. Sometimes floaters have more serious causes, including: Eye infections Eye injuries Uveitis(inflammation in the eye) Bleeding in the eye Vitreous detachment(when the vitreous pulls away from the retina) Retinal tear (when vitreous detachment tears a hole in the retina) Retinal detachment(when the retina gets pulled away from the back of the..."
How will my eye doctor check for floaters?,"Your eye doctor can check for floaters as part of a dilated eye exam. Your doctor will give you some eye drops to dilate (widen) your pupil and then check your eyes for floaters and other eye problems. This exam is usually painless. The doctor may press on your eyelids to check for retinal tears, which may be uncomfortable for some people."
What’s the treatment for floaters?,"Treatment for floaters depends on the cause. If your floaters are caused by another eye condition, you may need treatment for that condition. If your floaters are caused by aging and they don’t bother you, then you probably won’t need any treatment. If your floaters make it hard to see clearly and interfere with your daily life, your eye doctor might suggest a surgery called a vitrectomy to remove the floaters. Talk with your doctor about the risks and benefits of this surgery. Last updated:November 15, 2023"
What is glaucoma?,"Glaucoma is a group of eye diseases that can cause vision loss and blindness by damaging a nerve in the back of your eye called the optic nerve. The symptoms can start so slowly that you may not notice them. The only way to find out if you have glaucoma is to get a comprehensive dilated eye exam. There’s no cure for glaucoma, but early treatment can often stop the damage and protect your vision."
What are the types of glaucoma?,"There are many different types of glaucoma, but the most common type in the United States is calledopen-angle glaucoma— that’s what most people mean when they talk about glaucoma. Other types are less common, like angle-closure glaucoma and congenital glaucoma."
What are the symptoms of glaucoma?,"At first, glaucoma doesn’t usually have any symptoms. That’s why half of people with glaucoma don’t even know they have it. Over time, you may slowly lose vision, usually starting with your side (peripheral) vision — especially the part of your vision that’s closest to your nose. Because it happens so slowly, many people can’t tell that their vision is changing at first. But as the disease gets worse, you may start to notice that you can’t see things off to the side anymore. Without treatment, glaucoma can eventually cause blindness."
Am I at risk for glaucoma?,"Anyone can get glaucoma, but some people are at higher risk. You’re at higher risk if you: Are over age 60, especially if you’re Hispanic/Latino Are African American and over age 40 Have a family history of glaucoma Talk with your doctor about your risk for glaucoma, and ask how often you need to get checked. If you’re at higher risk, you need to get a comprehensive dilated eye exam every 1 to 2 years."
What causes glaucoma?,"Scientists aren’t sure what causes the most common types of glaucoma, but many people with glaucoma have high eye pressure — and treatments that lower eye pressure help to slow the disease. There’s no way to prevent glaucoma. That’s why eye exams are so important — so you and your doctor can find it before it affects your vision."
How will my eye doctor check for glaucoma?,Eye doctors can check for glaucoma as part of a comprehensive dilated eye exam. The exam is simple and painless — your doctor will give you some eye drops to dilate (widen) your pupil and then check your eyes for glaucoma and other eye problems. The exam includes a visual field test to check your side vision.
What’s the treatment for glaucoma?,"Doctors use different types of treatment for glaucoma, including medicines (usually eye drops), laser treatment, and surgery. If you have glaucoma, it’s important to start treatment right away. Treatment won’t undo any damage to your vision, but it can stop it from getting worse. Medicines.Prescription eye drops are the most common treatment. They lower the pressure in your eye and prevent damage to your optic nerve.Learn more about glaucoma medicines Medicines.Prescription eye drops are the most common treatment. They lower the pressure in your eye and prevent damage to your optic nerve. Learn more about glaucoma medicines Laser treatment.To lower...................................."
What is the latest research on glaucoma?,Scientists are studying what causes glaucoma and how we can find it earlier and treat it better. NEI also funds research on new treatment options.
How will my eye doctor check for farsightedness?,Eye doctors can check for farsightedness as part of a comprehensive eye exam. The exam is simple and painless.
What Is Keratoconus?,"Yourcorneais the clear, dome-shaped window at the front of your eye. It focuses light into your eye. Keratoconus is when the cornea thins out and bulges like a cone. Changing the shape of the cornea brings light rays out of focus. As a result, your vision is blurry and distorted, making daily tasks like reading ordrivingdifficult.What Causes Keratoconus?Doctors do not know for sure why people have keratoconus. In some cases, it appears to be genetic (passed down in families). About 1 out of 10 people with keratoconus have a parent who has it too. Keratoconus is also associated with:eye allergiesexcessive......"
What Causes Keratoconus?,"Doctors do not know for sure why people have keratoconus. In some cases, it appears to be genetic (passed down in families). About 1 out of 10 people with keratoconus have a parent who has it too. Keratoconus is also associated with: eye allergies excessive eye rubbing, and connective tissue disorders likeMarfan syndromeand Ehlers-Danlos syndrome"
How Is Keratoconus Treated?,"Keratoconus treatment depends on yoursymptoms. When your symptoms are mild, your vision can be corrected witheyeglasses. Later you may need to wear specialhard contact lensesto help keep vision in proper focus. Here are other ways that your ophthalmologist might treat keratoconus: Intacs.This is a small curved device that your ophthalmologist surgically puts in yourcornea. Intacs help flatten the curvature of your cornea to improve vision. Corneal cross-linking (CXL).Your ophthalmologist uses a special UV light and eye drops to strengthen the cornea. Doing this helps to flatten or stiffen your cornea, keeping it from bulging further. Corneal transplant.When symptoms are severe,..."
What is low vision?,"Low vision is a vision problem that makes it hard to do everyday activities. It can’t be fixed with glasses, contact lenses, or other standard treatments like medicine or surgery. You may have low vision if you can’t see well enough to do things like: Read Read Drive Drive Recognize people’s faces Recognize people’s faces Tell colors apart Tell colors apart See your television or computer screen clearly See your television or computer screen clearly"
What are the types of low vision?,The type of low vision that you have depends on the disease or condition that caused your low vision. The most common types of low vision are: Central vision loss (not being able to see things in the center of your vision) Central vision loss (not being able to see things in the center of your vision) Peripheral vision loss (not being able to see things out of the corners of your eyes) Peripheral vision loss (not being able to see things out of the corners of your eyes) Night blindness (not being able to see in low light) Night.........
What causes low vision?,"Many different eye conditions can cause low vision, but the most common causes are: Age-related macular degeneration (AMD) Age-related macular degeneration (AMD) Cataracts Cataracts Diabetic retinopathy(a condition that can cause vision loss in people with diabetes) Diabetic retinopathy(a condition that can cause vision loss in people with diabetes) Glaucoma Glaucoma Low vision is more common in older adults because many of the diseases that can cause it are more common in older adults. Aging doesn’t cause low vision on its own. Eye and brain injuries and certain genetic disorders can also cause low vision."
How will my eye doctor check for low vision?,"Your doctor can check for low vision as part of a dilated eye exam. The exam is simple and painless. Your doctor will ask you to read letters that are up close and far away, and will check whether you can see things in the center and at the edges of your vision. Then, they will give you some eye drops to dilate (widen) your pupil and check for other eye problems — including conditions that could cause low vision."
What’s the treatment for low vision?,"Unfortunately, low vision is usually permanent. Eyeglasses, medicine, and surgery can’t usually cure low vision — but sometimes they can improve vision, help you do everyday activities more easily, or keep your vision from getting worse. Treatment options will depend on the specific eye condition that caused your low vision. Ask your doctor if there are any treatments that could improve your vision or help protect your remaining vision."
How will my eye doctor check for nearsightedness?,Eye doctors can check for nearsightedness as part of a comprehensive eye exam. The exam is simple and painless.
What is pink eye?,"Pink eye, or conjunctivitis, causes swelling and redness in the inside of your eyelid and the white part of your eye. Your eye may also feel itchy and painful. Pink eye is common, and some types of pink eye spread very easily. You can keep from spreading it to other people by washing your hands often and not sharing items like pillowcases, towels, or makeup. Some types of pink eye get better on their own. If your case is mild, you can ease your symptoms at home using a cold compress and eye drops you can get over the counter,..."
What are the symptoms of pink eye?,"The most common symptoms of pink eye are: Pink or red eyes Itchy or burning eyes Watery eyes White, yellow, or green fluid (discharge) coming from your eyes Crust along your eyelids or eyelashes, which may keep your eyes from opening when you wake up Pink eye may also cause: Swollen eyelids A feeling like something’s stuck in your eye Sensitivity to bright light Blurry vision A lump in front of your ear If you wear contact lenses, you may notice that they feel uncomfortable or don’t stay in place."
Am I at risk for pink eye?,"Anyone can get pink eye. It’s one of the most common eye problems for both children and adults. You’re more likely to get pink eye if you: Come in contact with someone else who has pink eye Recently had a respiratory infection, like a cough or a cold Wear contact lenses Come in contact with something you’re allergic to Newborn babies are also at higher risk for pink eye — and it can be very serious."
What causes pink eye?,"Most of the time, pink eye is caused by a virus or bacteria. Viral pink eye is the most common type. You can also get pink eye from allergies to things like pollen or pet fur — or from other things that can bother your eyes, like pool water with chlorine, air pollution, or makeup. It can be hard to figure out the exact cause of pink eye, because the symptoms are usually the same."
How can I prevent pink eye from spreading?,"Viral and bacterial pink eye spread very easily from person to person — but you can take steps to keep pink eye from spreading. If you’re around someone who has pink eye: Wash your hands often with soap and water. If you don’t have soap and water, you can use hand sanitizer with alcohol in it. Wash your hands after you touch the person with pink eye or something that person used — for example, if you help put eye drops in their eyes, or put their bed sheets in the washing machine. Always wash your hands before touching your......................................."
When do I need to see a doctor for pink eye?,"Most cases of pink eye get better on their own. Go to the doctor if: You have a lot of pain in your eye Your eye is very red You notice a lot of mucus coming from your eyes Your vision is blurry or you’re sensitive to light — and it doesn’t get better when you wipe away discharge from your eye Your symptoms don’t get better after a few days — or they get worse You have a health condition that weakens your immune system, like cancer or HIV You have symptoms of pink eye and you wear contacts,......"
What’s the treatment for pink eye?,"Pink eye often gets better on its own after 7 to 10 days. But sometimes, you need treatment from a doctor. Last updated:November 15, 2023"
What is presbyopia?,Presbyopia is a refractive error that makes it hard for middle-aged and older adults to see things up close. It happens because the lens (an inner part of the eye that helps the eye focus) stops focusing light correctly on the retina (a light-sensitive layer of tissue at the back of the eye). Presbyopia is a normal part of aging. Everyone gets presbyopia as they get older — usually after age 45. Many people have another refractive error in addition to presbyopia.
What are the symptoms of presbyopia?,"Symptoms of presbyopia include: Trouble seeing things up close Needing to hold reading materials farther away to focus on them Eye strain (when your eyes feel tired or sore) Headache Presbyopia gets worse over time, but it usually stops getting worse after age 65."
What causes presbyopia?,"As you age, the lens in your eye gets harder and less flexible, and it stops focusing light correctly on the retina. This makes nearby objects look blurry. Presbyopia is different than farsightedness — another refractive error that makes it hard to see things up close.Learn more about farsightedness."
How will my eye doctor check for presbyopia?,Eye doctors can check for presbyopia as part of a comprehensive eye exam. The exam is simple and painless.
What’s the treatment for presbyopia?,"In early stages of presbyopia, you can try some simple changes to help you read, like: Holding reading materials farther away Choosing large-print books or increasing font size on the computer Using brighter reading lights As your presbyopia gets worse, you’ll probably need glasses or contact lenses to help you read. Some people use over-the-counter reading glasses — or your eye doctor can prescribe lenses to help you see as clearly as possible. Last updated:November 15, 2023"
How will my eye doctor check for refractive errors?,"Eye doctors can check for refractive errors as part of a comprehensive eye exam. The exam is simple and painless. Your doctor will ask you to read letters that are up close and far away. Then, they may give you some eye drops to dilate (widen) your pupil and check for other eye problems."
What are the stages of ROP?,There are 5 different stages of ROP. Doctors use these stages to keep track of how serious ROP is. The stages range from stage 1 (mild) to stage 5 (severe): Stages 1 and 2— Babies in these stages usually get better without treatment and go on to have healthy vision. Doctors will watch babies carefully to see if their ROP gets worse. Stage 3— Some babies who develop stage 3 get better with no treatment and go on to have healthy vision. But others need treatment to stop abnormal blood vessels from damaging the retina and causing retinal detachment (an...............
What are the symptoms of ROP?,"There are no signs of ROP that you can see. In advanced cases of ROP, the retina may partially or completely pull away from its normal position at the back of the eye. This is called retinal detachment — and it can cause vision loss and blindness. If your baby had ROP that caused damage, you may later notice that: Their eyes wander, shake, or make other unusual movements Their eyes don’t follow objects Their pupils look white They have trouble recognizing faces Babies who had ROP are also more likely to have other eye problems as they get older,.................."
Is my baby at risk for ROP?,"Babies are at risk for ROP if they’re born before 30 weeks of pregnancy or weighless than about 3 pounds at birth. If your baby is at risk, an eye specialist will check them for ROP. Babies are also more likely to develop ROP if they have: Breathing problems (and if they get too much oxygen therapy to treat breathing problems) Infections or other medical problems that premature babies may have — like problems with their heart, lungs, or brain"
What causes ROP?,"Normally, the blood vessels of the retina start to develop in the fourth month of pregnancy and finish developing around the due date, or 9 months of pregnancy. If a baby is born very early, these blood vessels may stop developing normally. The retina then develops new blood vessels that are abnormal. This is called retinal neovascularization, or NV. These abnormal blood vessels can grow in the wrong direction. The blood vessels are attached to the retina — so if they grow too far in the wrong direction, they can pull the retina up off the back of the eye...."
How will my baby’s doctor check for ROP?,"If your baby is at risk for ROP, they’ll need a dilated eye exam a few weeks after they’re born — usually between 4 to 9 weeks after birth. Ask your doctor when your baby needs an eye exam before you leave the hospital. During the exam, the eye doctor will give your baby some eye drops to dilate (widen) their pupils. The doctor will check every part of your baby’s eye for problems — especially the retina. The eye doctor will decide if your baby needs a follow-up exam based on what they see during the first exam. If......"
What's the treatment for ROP?,Many babies with ROP have mild cases and get better without treatment. But some babies need treatment to keep ROP from getting worse. It’s important to get treated early to protect your child’s vision. Treatment options include: Laser treatment.Babies with advanced ROP may need laser treatment on the sides of the retina. This treatment can help keep ROP from getting worse and help protect your child’s vision. Laser treatment.Babies with advanced ROP may need laser treatment on the sides of the retina. This treatment can help keep ROP from getting worse and help protect your child’s vision. Injections.Doctors can also.....................
What’s the latest research on ROP?,"NEI supports research on new ways to diagnose and treat ROP. NEI has also funded research on risk factors for ROP. Last updated:November 15, 2023"
What is retinal detachment?,Retinal detachment is an eye problem that happens when your retina (a light-sensitive layer of tissue in the back of your eye) is pulled away from its normal position at the back of your eye.
What are the symptoms of retinal detachment?,"If only a small part of your retina has detached, you may not have any symptoms. But if more of your retina is detached, you may not be able to see as clearly as normal, and you may notice other sudden symptoms, including: A lot of new floaters (small dark spots or squiggly lines that float across your vision) Flashes of light in one eye or both eyes A dark shadow or “curtain” on the sides or in the middle of your field of vision Retinal detachment is a medical emergency.If you have symptoms of a detached retina, it’s important......"
Am I at risk for retinal detachment?,"Anyone can have a retinal detachment, but some people are at higher risk. You are at higher risk if: You or a family member has had a retinal detachment before You’ve had a serious eye injury You’ve had eye surgery, like surgery to treat cataracts Some other problems with your eyes may also put you at higher risk, including: Diabetic retinopathy (a condition in people with diabetes that affects blood vessels in the retina) Extreme nearsightedness (myopia), especially a severe type called degenerative myopia Posterior vitreous detachment (when the gel-like fluid in the center of the eye pulls away from........."
What causes retinal detachment?,"There are many causes of retinal detachment, but the most common causes are aging or an eye injury. There are 3 types of retinal detachment: rhegmatogenous, tractional, and exudative. Each type happens because of a different problem that causes your retina to move away from the back of your eye."
How can I prevent retinal detachment?,"Since retinal detachment is often caused by aging, there’s often no way to prevent it. But you can lower your risk of retinal detachment from an eye injury by wearing safety goggles or other protective eye gear when doing risky activities, like playing sports. If you experience any symptoms of retinal detachment, go to your eye doctor or the emergency room right away. Early treatment can help prevent permanent vision loss. It’s also important to get comprehensive dilated eye exams regularly. A dilated eye exam can help your eye doctor find a small retinal tear or detachment early, before it..."
How will my eye doctor check for retinal detachment?,"If you see any warning signs of a retinal detachment, your eye doctor can check your eyes with a dilated eye exam. Your doctor will give you some eye drops to dilate (widen) your pupil and then look at your retina at the back of your eye. This exam is usually painless. The doctor may press on your eyelids to check for retinal tears, which may be uncomfortable for some people. If your eye doctor still needs more information after a dilated eye exam, you may get an ultrasound or an optical coherence tomography (OCT) scan of your eye. Both..."
What’s the treatment for retinal detachment?,"Depending on how much of your retina is detached and what type of retinal detachment you have, your eye doctor may recommend laser surgery, freezing treatment, or other types of surgery to fix any tears or breaks in your retina and reattach your retina to the back of your eye. Sometimes, your eye doctor will use more than one of these treatments at the same time. Freeze treatment (cryopexy) or laser surgery.If you have a small hole or tear in your retina, your doctor can use a freezing probe or a medical laser to seal any tears or breaks in...................................."
What Is Adult Strabismus?,"Adult strabismus (crossed eyes) is when your eyes are not lined up properly and they point in different directions. One eye may look straight ahead while the other eye turns in, out, up, or down. The misalignment can shift from one eye to the other.Strabismus affects vision, since both eyes must aim at the same spot together to see properly.There Are Six Eye Muscles That Control Eye MovementOne muscle moves the eye to the right, and one muscle moves the eye to the left. The other four muscles move the eye up, down, and at an angle. In order to........."
What Causes Adult Strabismus (Crossed Eyes)?,"To line up and focus both eyes on a single target, all muscles in both eyes must be balanced and working together. The brain controls these muscles. People who have strabismus usually have a problem that can affect eye muscles. Some of those problems may include: Health problems such asdiabetes,thyroid eye disease(or TED, also known as Graves’ eye disease), Myasthenia gravis, brain tumors, or a stroke Accidents or head injury Damage to eye muscles during some kind of eye surgery Most adults with strabismus have had it since they were children. But sometimes it starts later in life."
How Does Adult Strabismus Affect Vision?,"With normal vision, both eyes aim at the same spot. The brain combines the two images from our eyes into a single, three-dimensional (3-D) image. This is how we can tell how near or far something is from us (called depth perception). When one eye is out of alignment, two different pictures are sent to the brain.In a young child, the brain learns to ignore the image of the misaligned eye. Instead, it sees only the image from the straight or better-seeing eye. As a result, the child loses depth perception. Adults who develop strabismus after childhood often havedouble vision...."
What Are the Symptoms of Adult Strabismus (Crossed Eyes)?,"The most obvious symptom is having eyes that appear out of alignment. Adults with strabismus also may notice these other symptoms: Weakness in or around the eye, or feeling like something is pulling around your eyes. Vision changes, such as double vision (seeing two of one image), blurry vision, trouble reading, or a loss of depth perception. Constantly tilting or turning your head to see an image clearly. Strabismus symptoms can be constant, or they can come and go."
